Agent 0,Agent 1,min,max,avg,steps,trend
43.6,12.1,5.8,49.9,27.849999999999998,289,28.474710293901232
42.3,17.1,4.5,54.9,29.7,290,28.471894011827708
51.7,16.0,5.3,62.4,33.85,291,28.46876636209441
50.9,11.0,3.5,58.4,30.95,292,28.465330371357147
41.7,14.9,3.3,53.3,28.299999999999997,293,28.46158912269198
41.6,21.2,6.2,56.6,31.400000000000002,294,28.457545755595238
41.6,13.3,4.7,50.2,27.450000000000003,295,28.453203465983506
43.0,1.2,1.2,43.0,22.1,296,28.448565506193624
42.5,24.4,7.0,59.9,33.45,297,28.4436351849827
43.2,18.1,6.8,54.5,30.65,298,28.438415867528093
42.6,13.1,3.8,51.9,27.849999999999998,299,28.43291097542743
41.5,2.7,2.6,41.6,22.1,300,28.427123986698582
44.4,19.3,7.1,56.6,31.85,301,28.421058435779702
41.7,15.3,4.2,52.8,28.5,302,28.414717913529184
42.1,16.7,7.3,51.5,29.4,303,28.408106067225685
44.0,15.8,7.3,52.5,29.9,304,28.401226600568126
43.7,13.7,5.0,52.4,28.7,305,28.39408327367569
45.5,15.2,5.8,54.9,30.349999999999998,306,28.386679903087806
45.4,7.4,2.2,50.6,26.400000000000002,307,28.379020361764177
46.0,14.7,4.2,56.5,30.35,308,28.371108579084755
45.4,14.8,9.7,50.5,30.1,309,28.362948540849757
46.9,10.9,6.6,51.2,28.900000000000002,310,28.35454428927966
44.5,12.6,5.6,51.5,28.55,311,28.345899923015192
43.3,8.9,3.0,49.2,26.1,312,28.337019597117354
32.4,13.0,4.9,40.5,22.7,313,28.327907523067395
41.0,6.0,1.5,45.5,23.5,314,28.318567968766825
44.6,9.5,6.3,47.8,27.049999999999997,315,28.30900525853742
36.5,9.9,4.0,42.4,23.2,316,28.29922377312121
33.9,18.8,4.8,47.9,26.349999999999998,317,28.289227949680484
39.9,11.4,4.2,47.1,25.650000000000002,318,28.27902228179779
38.7,17.8,4.6,51.9,28.25,319,28.268611319475937
34.4,17.3,3.7,48.0,25.85,320,28.257999669137998
34.9,11.4,4.2,42.1,23.150000000000002,321,28.247191993627297
32.0,8.6,2.7,37.9,20.3,322,28.236193012207423
37.3,28.7,9.1,56.9,33.0,323,28.225007500562217
35.3,14.2,3.4,46.1,24.75,324,28.21364029079579
35.3,25.6,9.1,51.8,30.45,325,28.202096271432506
24.7,33.7,6.3,52.1,29.2,326,28.19038038741699
35.1,21.7,8.4,48.4,28.4,327,28.178497640114124
36.9,11.4,3.7,44.6,24.150000000000002,328,28.16645308730905
33.5,20.0,8.7,44.8,26.75,329,28.154251843207174
30.7,28.2,4.7,54.2,29.450000000000003,330,28.141899078434154
35.0,18.8,7.1,46.7,26.900000000000002,331,28.12940002003591
31.7,18.0,7.5,42.2,24.85,332,28.116759951478627
31.5,22.8,5.0,49.3,27.15,333,28.103984212648747
32.0,3.0,2.0,33.0,17.5,334,28.091078199852962
31.6,4.2,2.7,33.1,17.900000000000002,335,28.078047365818232
25.8,16.3,6.7,35.4,21.05,336,28.06489721969178
25.2,9.6,3.3,31.5,17.4,337,28.051633327041074
40.2,1.9,0.4,41.7,21.05,338,28.038261309853862
35.6,12.3,2.1,45.8,23.95,339,28.02478684653813
42.9,5.7,3.5,45.1,24.3,340,28.011215671922137
32.5,16.8,6.3,43.0,24.65,341,27.9975535772544
41.4,16.7,5.3,52.8,29.049999999999997,342,27.98380641020369
46.2,6.6,4.6,48.2,26.400000000000002,343,27.96998007485904
