Agent 0,Agent 1,avg,min,max,steps,trend
405.4,398.0,401.7,398.0,405.4,308,475.57073660778093
446.2,438.7,442.45,438.7,446.2,309,476.0772906313339
449.6,440.9,445.25,440.9,449.6,310,476.5722484519978
397.1,423.5,410.3,397.1,423.5,311,477.05523552058895
485.7,483.1,484.4,483.1,485.7,312,477.5258740164896
481.5,478.5,480.0,478.5,481.5,313,477.9837828476481
485.3,485.2,485.25,485.2,485.3,314,478.428577650579
492.5,491.6,492.05,491.6,492.5,315,478.8598707903626
436.7,448.9,442.79999999999995,436.7,448.9,316,479.2772713606456
497.8,497.9,497.85,497.8,497.9,317,479.68038518364045
493.5,494.5,494.0,493.5,494.5,318,480.06881481012584
499.2,499.0,499.1,499.0,499.2,319,480.4421595194465
497.6,497.7,497.65,497.6,497.7,320,480.800015319513
498.9,498.8,498.85,498.8,498.9,321,481.1419749468023
498.5,497.9,498.2,497.9,498.5,322,481.4676278663572
499.0,498.3,498.65,498.3,499.0,323,481.7765602717866
496.9,497.5,497.2,496.9,497.5,324,482.06835508526535
439.1,458.3,448.70000000000005,439.1,458.3,325,482.3425919575345
495.3,488.3,491.8,488.3,495.3,326,482.5988472679012
491.9,467.0,479.45,467.0,491.9,327,482.8366941242385
448.0,448.3,448.15,448.0,448.3,328,483.05570236298547
474.0,454.7,464.35,454.7,474.0,329,483.2554385491474
496.7,488.1,492.4,488.1,496.7,330,483.4354659762956
496.4,487.5,491.95,487.5,496.4,331,483.59534466656726
491.5,492.4,491.95,491.5,492.4,332,483.7346313706658
499.3,493.5,496.4,493.5,499.3,333,483.85287956786067
490.3,487.8,489.05,487.8,490.3,334,483.9496394659873
497.5,497.0,497.25,497.0,497.5,335,484.0244580014472
498.0,497.3,497.65,497.3,498.0,336,484.07687883920806
499.3,498.6,498.95000000000005,498.6,499.3,337,484.1064423728034
498.9,498.7,498.79999999999995,498.7,498.9,338,484.1126857243329
498.4,497.9,498.15,497.9,498.4,339,484.09514274446235
499.2,499.0,499.1,499.0,499.2,340,484.0533440124235
477.8,478.1,477.95000000000005,477.8,478.1,341,483.98681683601427
498.4,498.3,498.35,498.3,498.4,342,483.8950852515984
492.4,491.9,492.15,491.9,492.4,343,483.77767002410593
498.4,497.9,498.15,497.9,498.4,344,483.63408864703285
497.7,498.4,498.04999999999995,497.7,498.4,345,483.4638553424412
497.5,485.0,491.25,485.0,497.5,346,483.2664810609591
498.1,497.2,497.65,497.2,498.1,347,483.0414734817807
499.3,499.2,499.25,499.2,499.3,348,482.78833701266615
497.6,498.2,497.9,497.6,498.2,349,482.5065727899418
497.9,497.6,497.75,497.6,497.9,350,482.1956786784999
